@relation result_new_train4_win

@attribute AVRAGE numeric
@attribute Dealer1 numeric
@attribute PlayerSum numeric
@attribute HITorSTAND {S,H}

@data
6.91,4,13,H
7.49,10,15,S
7.85,5,20,S
8.52,4,8,S
8.52,4,11,H
8.11,5,6,S
7.13,10,20,S
7.13,10,17,H
7.33,5,19,S
7.33,5,7,H
7.47,10,15,S
7.47,10,16,H
6.87,7,20,S
7.31,10,13,H
8.03,11,17,S
7.6,11,20,S
6.65,8,9,H
7,9,19,S
7,9,13,H
7.07,6,8,H
8,6,17,S
6.38,2,8,S
6.38,2,9,H
7.36,11,13,S
7.36,11,11,H
7.47,5,10,S
7.28,10,16,H
7.65,7,13,S
7.65,7,17,H
7.39,5,15,S
7.39,5,19,H
7.05,7,14,H
7.73,10,18,S
7.52,4,20,S
7.16,9,11,S
7.79,6,14,H
8.13,6,9,S
7.98,8,20,S
7.98,8,11,H
7.93,4,14,S
6.79,10,17,S
6.79,10,9,H
6.66,9,13,S
8.12,11,16,S
7.26,6,7,S
7.36,2,16,S
5.87,7,17,S
6.58,9,12,S
7.21,5,14,S
7.21,5,4,H
7.24,2,17,S
7.24,2,5,H
7.13,8,20,S
6.69,8,19,S
7.68,9,16,S
7.68,9,8,H
7.27,7,20,S
6.31,7,17,H
6.63,3,15,S
6.63,3,12,H
7.18,10,13,H
7.55,3,20,S
6.22,6,11,S
6.98,3,10,S
7.44,10,20,S
6.73,6,7,S
7.21,10,16,H
6.72,10,20,S
7.27,9,11,H
7.16,9,13,H
6.73,10,10,S
7.5,4,15,H
7.06,2,14,S
7.06,2,15,H
6.91,5,12,S
7.52,10,9,H
7.21,5,20,S
7.21,5,13,H
8.8,10,20,S
6.49,2,9,S
7.64,2,20,S
6.88,5,14,S
6.88,5,11,H
6.49,3,4,S
7.64,2,17,S
6.21,3,15,S
6.21,3,17,H
6.56,4,13,H
7.09,3,20,S
7.09,3,9,H
6.07,4,18,S
6.07,4,14,H
7.57,9,8,S
8.18,8,11,H
7.02,11,20,S
7.32,10,10,S
7.32,10,4,H
7.02,10,15,S
7.02,10,8,H
7.49,9,19,S
7.5,9,15,H
7.51,11,19,H
7.14,5,13,H
7.32,4,12,H
7.22,2,13,S
7.22,2,15,H
6.16,10,8,S
7.76,10,16,S
7.76,10,10,H
7.14,10,12,S
7.88,5,13,S
7.88,5,13,H
6.98,11,11,H
8.2,2,17,S
7.5,10,14,S
7.46,10,8,S
7.46,10,13,H
6.34,7,11,H
7.16,2,8,S
6.86,4,20,S
6.86,4,12,H
6.87,9,19,S
6.87,9,15,H
6.33,2,16,S
6.33,2,15,H
6.42,11,12,S
