dealer,player,handtype,action,Q-value
2, 16, 0, 0, 2454.516364476198
2, 16, 0, 1, 2515.3738417349578
2, 16, 1, 0, 1838.6034145038989
2, 16, 1, 1, 995.2271687196206
2, 17, 0, 0, 2466.8418950781934
2, 17, 0, 1, 2535.322213076179
2, 17, 1, 0, 1993.3276720764272
2, 17, 1, 1, 829.4067137151051
2, 18, 0, 0, 3114.729850508023
2, 18, 0, 1, 2766.5230782476365
2, 18, 1, 0, 3064.131733699513
2, 18, 1, 1, 620.0898310563347
2, 19, 0, 0, 4122.517370653843
2, 19, 0, 1, 2885.4959903347444
2, 19, 1, 0, 4145.078163399682
2, 19, 1, 1, 295.74792504081887
2, 20, 0, 0, 5159.15773022648
2, 20, 0, 1, 3170.0281684210822
2, 20, 1, 0, 5195.24971456428
2, 20, 1, 1, -71.78659912379464
2, 21, 0, 0, 6165.063088783499
2, 21, 0, 1, 2034.067692355823
2, 21, 1, 0, 700.0
2, 21, 1, 1, 0.0
2, 22, 0, 0, -100.0
2, 22, 0, 1, -100.0
2, 22, 1, 0, -100.0
2, 22, 1, 1, -100.0
3, 0, 0, 0, 0.0
3, 0, 0, 1, 0.0
3, 0, 1, 0, 0.0
3, 0, 1, 1, 0.0
3, 1, 0, 0, 0.0
3, 1, 0, 1, 0.0
3, 1, 1, 0, 0.0
3, 1, 1, 1, 0.0
3, 2, 0, 0, 0.0
3, 2, 0, 1, 0.0
3, 2, 1, 0, 0.0
3, 2, 1, 1, 0.0
3, 3, 0, 0, 0.0
3, 3, 0, 1, 0.0
3, 3, 1, 0, 0.0
3, 3, 1, 1, 0.0
3, 4, 0, 0, 0.0
3, 4, 0, 1, 0.0
3, 4, 1, 0, 1933.1749593502118
3, 4, 1, 1, 2025.3676215981595
3, 5, 0, 0, 0.0
3, 5, 0, 1, 0.0
3, 5, 1, 0, 2000.7201285060005
3, 5, 1, 1, 2010.715755647782
3, 6, 0, 0, 0.0
3, 6, 0, 1, 0.0
3, 6, 1, 0, 2012.670088789395
3, 6, 1, 1, 1999.9193205469314
3, 7, 0, 0, 0.0
3, 7, 0, 1, 0.0
3, 7, 1, 0, 2051.172718714041
3, 7, 1, 1, 2058.8505737281675
3, 8, 0, 0, 0.0
3, 8, 0, 1, 0.0
3, 8, 1, 0, 2344.0432761174457
3, 8, 1, 1, 2392.645765322823
3, 9, 0, 0, 0.0
3, 9, 0, 1, 0.0
3, 9, 1, 0, 2672.7703497534894
3, 9, 1, 1, 2774.178499686437
3, 10, 0, 0, 0.0
3, 10, 0, 1, 0.0
