@RELATION burstmodel
@ATTRIBUTE dealer-1 string
@ATTRIBUTE dealer-2 string
@ATTRIBUTE player1-1 string
@ATTRIBUTE player1-2 string
@ATTRIBUTE player2-1 string
@ATTRIBUTE player2-2 string
@ATTRIBUTE player3-1 string
@ATTRIBUTE player3-2 string
@ATTRIBUTE player4-1 string
@ATTRIBUTE player4-2 string
@ATTRIBUTE total numeric
@ATTRIBUTE result {burst, non-burst}
@DATA
EIGHT,NINE,THREE,NINE,SIX,TWO,TEN,TEN,QUEEN,SIX,8,non-burst
EIGHT,NINE,THREE,NINE,SIX,TWO,TEN,TEN,QUEEN,SIX,11,non-burst
EIGHT,NINE,THREE,NINE,SIX,TWO,TEN,TEN,QUEEN,SIX,16,non-burst
QUEEN,TEN,THREE,ACE,FIVE,NINE,JACK,QUEEN,TEN,KING,14,non-burst
QUEEN,TEN,THREE,ACE,FIVE,NINE,JACK,QUEEN,TEN,KING,14,non-burst
QUEEN,TEN,THREE,ACE,FIVE,NINE,JACK,QUEEN,TEN,KING,16,non-burst
THREE,KING,QUEEN,EIGHT,TWO,NINE,FIVE,FIVE,SIX,FIVE,11,non-burst
THREE,KING,QUEEN,EIGHT,TWO,NINE,FIVE,FIVE,SIX,FIVE,12,non-burst
THREE,KING,QUEEN,EIGHT,TWO,NINE,FIVE,FIVE,SIX,FIVE,10,non-burst
THREE,KING,QUEEN,EIGHT,TWO,NINE,FIVE,FIVE,SIX,FIVE,14,non-burst
THREE,KING,QUEEN,EIGHT,TWO,NINE,FIVE,FIVE,SIX,FIVE,11,non-burst
THREE,KING,QUEEN,EIGHT,TWO,NINE,FIVE,FIVE,SIX,FIVE,14,non-burst
TEN,SIX,SEVEN,KING,FOUR,JACK,FIVE,ACE,SIX,NINE,14,non-burst
TEN,SIX,SEVEN,KING,FOUR,JACK,FIVE,ACE,SIX,NINE,16,non-burst
TEN,SIX,SEVEN,KING,FOUR,JACK,FIVE,ACE,SIX,NINE,12,non-burst
TEN,SIX,SEVEN,KING,FOUR,JACK,FIVE,ACE,SIX,NINE,15,non-burst
SEVEN,KING,NINE,FIVE,JACK,EIGHT,SIX,EIGHT,SIX,TWO,14,non-burst
SEVEN,KING,NINE,FIVE,JACK,EIGHT,SIX,EIGHT,SIX,TWO,14,non-burst
SEVEN,KING,NINE,FIVE,JACK,EIGHT,SIX,EIGHT,SIX,TWO,8,non-burst
SEVEN,KING,NINE,FIVE,JACK,EIGHT,SIX,EIGHT,SIX,TWO,14,non-burst
